Register Output,Fraction,Guess for r,guess1,guess2,iterations
11110011010011(bin) = 15571(dec),19/20,20,11,5,2
01001100111001(bin) = 4921(dec),3/10,10,1,11,1
00011010000001(bin) = 1665(dec),5/49,49,5,1,1
11110011000101(bin) = 15557(dec),19/20,20,11,5,1
00100101010111(bin) = 2391(dec),7/48,48,5,1,1
01001100001001(bin) = 4873(dec),11/37,37,1,5,1
11001101001010(bin) = 13130(dec),4/5,5,1,5,1
11110011000100(bin) = 15556(dec),19/20,20,11,5,1
10001100101000(bin) = 9000(dec),28/51,51,1,11,1
00100110010011(bin) = 2451(dec),3/20,20,11,5,1
11100110010100(bin) = 14740(dec),9/10,10,1,11,1
11011001010000(bin) = 13904(dec),28/33,33,5,1,1
00110011001000(bin) = 3272(dec),1/5,5,1,5,3
11011001101100(bin) = 13932(dec),17/20,20,11,5,1
10001100101101(bin) = 9005(dec),11/20,20,11,5,1
01100110010100(bin) = 6548(dec),2/5,5,1,5,1
01110011000000(bin) = 7360(dec),22/49,49,5,1,1
01001100101101(bin) = 4909(dec),3/10,10,1,11,1
00100110010001(bin) = 2449(dec),3/20,20,11,5,1
01011001101101(bin) = 5741(dec),7/20,20,11,5,1
10100110100000(bin) = 10656(dec),13/20,20,11,5,1
11001101001000(bin) = 13128(dec),4/5,5,1,5,1
11100110000011(bin) = 14723(dec),44/49,49,5,1,1
11100110100010(bin) = 14754(dec),9/10,10,1,11,1
10001100101100(bin) = 9004(dec),11/20,20,11,5,1
01011001110100(bin) = 5748(dec),13/37,37,1,5,1
11100110111000(bin) = 14776(dec),46/51,51,1,11,1
10110011000011(bin) = 11459(dec),7/10,10,1,11,1
01001100110101(bin) = 4917(dec),3/10,10,1,11,11
01011001110001(bin) = 5745(dec),7/20,20,11,5,1
11100110100110(bin) = 14758(dec),9/10,10,1,11,1
01110011000100(bin) = 7364(dec),22/49,49,5,1,2
00001100110000(bin) = 816(dec),1/20,20,11,5,1
10001100110000(bin) = 9008(dec),11/20,20,11,5,4
10011001111100(bin) = 9852(dec),3/5,5,1,5,1
00110011001001(bin) = 3273(dec),1/5,5,1,5,1
01011001011111(bin) = 5727(dec),7/20,20,11,5,1
01011001100001(bin) = 5729(dec),7/20,20,11,5,3
10110010111100(bin) = 11452(dec),37/53,53,1,5,1
01000000000000(bin) = 4096(dec),1/4,4,1,5,795
00011001100000(bin) = 1632(dec),1/10,10,1,11,3
11011001100010(bin) = 13922(dec),17/20,20,11,5,6
00011010000011(bin) = 1667(dec),5/49,49,5,1,1
01001100101111(bin) = 4911(dec),3/10,10,1,11,1
11110011000111(bin) = 15559(dec),19/20,20,11,5,1
10011001101110(bin) = 9838(dec),3/5,5,1,5,3
00100110101100(bin) = 2476(dec),8/53,53,1,5,1
01100110101001(bin) = 6569(dec),2/5,5,1,5,1
10011001010000(bin) = 9808(dec),3/5,5,1,5,1
00110010110001(bin) = 3249(dec),1/5,5,1,5,1
10011001111110(bin) = 9854(dec),3/5,5,1,5,1
11011001100111(bin) = 13927(dec),17/20,20,11,5,194
01110011000011(bin) = 7363(dec),22/49,49,5,1,1
11100110011011(bin) = 14747(dec),9/10,10,1,11,36
11100111010001(bin) = 14801(dec),28/31,31,1,11,1
01011001101110(bin) = 5742(dec),7/20,20,11,5,1
10011001110010(bin) = 9842(dec),3/5,5,1,5,1
00110010101110(bin) = 3246(dec),1/5,5,1,5,1
00011001110001(bin) = 1649(dec),1/10,10,1,11,1
00100110100000(bin) = 2464(dec),3/20,20,11,5,2
01001100110010(bin) = 4914(dec),3/10,10,1,11,16
01110011100000(bin) = 7392(dec),23/51,51,1,11,2
01100110101100(bin) = 6572(dec),2/5,5,1,5,1
01100110101010(bin) = 6570(dec),2/5,5,1,5,1
00110011000011(bin) = 3267(dec),1/5,5,1,5,1
01100110100110(bin) = 6566(dec),2/5,5,1,5,2
11001100111000(bin) = 13112(dec),4/5,5,1,5,1
01011001101000(bin) = 5736(dec),7/20,20,11,5,24
10110011010001(bin) = 11473(dec),7/10,10,1,11,1
01110011001111(bin) = 7375(dec),9/20,20,11,5,3
11011001101101(bin) = 13933(dec),17/20,20,11,5,3
11001100110000(bin) = 13104(dec),4/5,5,1,5,1
10011010001100(bin) = 9868(dec),32/53,53,1,5,1
10001100111100(bin) = 9020(dec),27/49,49,5,1,1
11100110010101(bin) = 14741(dec),9/10,10,1,11,1
00110010011000(bin) = 3224(dec),10/51,51,1,11,1
10110011001000(bin) = 11464(dec),7/10,10,1,11,1
00011001111001(bin) = 1657(dec),5/49,49,5,1,1
10100110010110(bin) = 10646(dec),13/20,20,11,5,2
00011001100010(bin) = 1634(dec),1/10,10,1,11,3
01001100111000(bin) = 4920(dec),3/10,10,1,11,1
00100110010111(bin) = 2455(dec),3/20,20,11,5,8
11100110011110(bin) = 14750(dec),9/10,10,1,11,4
10011001011100(bin) = 9820(dec),3/5,5,1,5,2
01110011101010(bin) = 7402(dec),14/31,31,1,11,1
00110011010000(bin) = 3280(dec),1/5,5,1,5,5
10100110000000(bin) = 10624(dec),24/37,37,1,5,1
00001100101110(bin) = 814(dec),1/20,20,11,5,2
10100110010010(bin) = 10642(dec),13/20,20,11,5,2
10100110010011(bin) = 10643(dec),13/20,20,11,5,2
00011001101110(bin) = 1646(dec),1/10,10,1,11,1
00100110100110(bin) = 2470(dec),8/53,53,1,5,2
10001100110100(bin) = 9012(dec),11/20,20,11,5,43
01100110010001(bin) = 6545(dec),2/5,5,1,5,1
00100110011111(bin) = 2463(dec),3/20,20,11,5,3
01011001101100(bin) = 5740(dec),7/20,20,11,5,3
00110011010100(bin) = 3284(dec),1/5,5,1,5,1
01110011000001(bin) = 7361(dec),22/49,49,5,1,1
01101110001011(bin) = 7051(dec),22/51,51,1,11,1
11001100110001(bin) = 13105(dec),4/5,5,1,5,4
10011001011010(bin) = 9818(dec),3/5,5,1,5,4
00110011010010(bin) = 3282(dec),1/5,5,1,5,2
10011001110011(bin) = 9843(dec),3/5,5,1,5,1
11100110010011(bin) = 14739(dec),9/10,10,1,11,3
00100110010101(bin) = 2453(dec),3/20,20,11,5,4
01001100101100(bin) = 4908(dec),3/10,10,1,11,1
00001100110111(bin) = 823(dec),1/20,20,11,5,2
11110011001111(bin) = 15567(dec),19/20,20,11,5,3
00001100110001(bin) = 817(dec),1/20,20,11,5,3
10110011000100(bin) = 11460(dec),7/10,10,1,11,1
10110011001011(bin) = 11467(dec),7/10,10,1,11,8
10001100101010(bin) = 9002(dec),28/51,51,1,11,2
11011001101001(bin) = 13929(dec),17/20,20,11,5,13
10110010111111(bin) = 11455(dec),7/10,10,1,11,1
10100110010101(bin) = 10645(dec),13/20,20,11,5,2
01100110010011(bin) = 6547(dec),2/5,5,1,5,1
00110011011100(bin) = 3292(dec),1/5,5,1,5,1
00011001101100(bin) = 1644(dec),1/10,10,1,11,2
00110010111010(bin) = 3258(dec),1/5,5,1,5,2
10110011011011(bin) = 11483(dec),7/10,10,1,11,1
11110011001000(bin) = 15560(dec),19/20,20,11,5,1
00100110011100(bin) = 2460(dec),3/20,20,11,5,14
01110011001011(bin) = 7371(dec),9/20,20,11,5,8
10011001101101(bin) = 9837(dec),3/5,5,1,5,1
11001100110010(bin) = 13106(dec),4/5,5,1,5,23
01011001101111(bin) = 5743(dec),7/20,20,11,5,1
01110011000111(bin) = 7367(dec),9/20,20,11,5,1
00110011001011(bin) = 3275(dec),1/5,5,1,5,17
01011001100011(bin) = 5731(dec),7/20,20,11,5,6
11100111010111(bin) = 14807(dec),47/52,52,1,5,1
10110011001111(bin) = 11471(dec),7/10,10,1,11,9
10001100100111(bin) = 8999(dec),28/51,51,1,11,2
11001100101111(bin) = 13103(dec),4/5,5,1,5,2
11100110100100(bin) = 14756(dec),9/10,10,1,11,1
00101000010001(bin) = 2577(dec),8/51,51,1,11,1
01100110100000(bin) = 6560(dec),2/5,5,1,5,1
01100110011101(bin) = 6557(dec),2/5,5,1,5,6
11011000100111(bin) = 13863(dec),11/13,13,1,5,1
10001100111000(bin) = 9016(dec),11/20,20,11,5,1
10001100110111(bin) = 9015(dec),11/20,20,11,5,1
01001100110001(bin) = 4913(dec),3/10,10,1,11,4
11110011001011(bin) = 15563(dec),19/20,20,11,5,7
01100110001010(bin) = 6538(dec),2/5,5,1,5,1
01110011100010(bin) = 7394(dec),23/51,51,1,11,1
01100110011110(bin) = 6558(dec),2/5,5,1,5,1
10011001000010(bin) = 9794(dec),31/52,52,1,5,1
01110011000010(bin) = 7362(dec),22/49,49,5,1,1
00001100111000(bin) = 824(dec),1/20,20,11,5,1
00011001011111(bin) = 1631(dec),1/10,10,1,11,1
10100110100001(bin) = 10657(dec),13/20,20,11,5,4
01110011010000(bin) = 7376(dec),9/20,20,11,5,4
11011001101011(bin) = 13931(dec),17/20,20,11,5,2
10100110100011(bin) = 10659(dec),13/20,20,11,5,2
11001101000000(bin) = 13120(dec),4/5,5,1,5,1
01011001100000(bin) = 5728(dec),7/20,20,11,5,4
10100110010100(bin) = 10644(dec),13/20,20,11,5,6
00011001101011(bin) = 1643(dec),1/10,10,1,11,2
00011001101010(bin) = 1642(dec),1/10,10,1,11,6
11011001011011(bin) = 13915(dec),45/53,53,1,5,1
01011001111000(bin) = 5752(dec),13/37,37,1,5,1
11011001100011(bin) = 13923(dec),17/20,20,11,5,6
11001100110100(bin) = 13108(dec),4/5,5,1,5,50
00100110100011(bin) = 2467(dec),8/53,53,1,5,1
01100110011011(bin) = 6555(dec),2/5,5,1,5,44
10011001100011(bin) = 9827(dec),3/5,5,1,5,10
00001100101111(bin) = 815(dec),1/20,20,11,5,2
10001100101110(bin) = 9006(dec),11/20,20,11,5,1
01001100101110(bin) = 4910(dec),3/10,10,1,11,1
00100110110110(bin) = 2486(dec),5/33,33,5,1,1
01110011001100(bin) = 7372(dec),9/20,20,11,5,57
10110011000010(bin) = 11458(dec),7/10,10,1,11,2
10100110010111(bin) = 10647(dec),13/20,20,11,5,14
11011001011010(bin) = 13914(dec),45/53,53,1,5,1
01110011001010(bin) = 7370(dec),9/20,20,11,5,3
11001100101010(bin) = 13098(dec),4/5,5,1,5,1
01100101101110(bin) = 6510(dec),21/53,53,1,5,1
11011001010001(bin) = 13905(dec),28/33,33,5,1,1
00100110011101(bin) = 2461(dec),3/20,20,11,5,5
10100110011001(bin) = 10649(dec),13/20,20,11,5,209
00011001011011(bin) = 1627(dec),1/10,10,1,11,1
00110011001010(bin) = 3274(dec),1/5,5,1,5,1
10110011010011(bin) = 11475(dec),7/10,10,1,11,1
01100101100001(bin) = 6497(dec),21/53,53,1,5,1
01001100101010(bin) = 4906(dec),3/10,10,1,11,2
10001100110001(bin) = 9009(dec),11/20,20,11,5,7
11100110011101(bin) = 14749(dec),9/10,10,1,11,8
00001100110101(bin) = 821(dec),1/20,20,11,5,8
00011001101001(bin) = 1641(dec),1/10,10,1,11,11
00001100111010(bin) = 826(dec),1/20,20,11,5,1
00011001110000(bin) = 1648(dec),1/10,10,1,11,1
00110001101101(bin) = 3181(dec),7/36,36,1,5,1
01110011010001(bin) = 7377(dec),9/20,20,11,5,1
01011001111010(bin) = 5754(dec),13/37,37,1,5,1
00100110100001(bin) = 2465(dec),3/20,20,11,5,1
00110011000100(bin) = 3268(dec),1/5,5,1,5,1
01001101001111(bin) = 4943(dec),16/53,53,1,5,1
11001100110110(bin) = 13110(dec),4/5,5,1,5,3
11011001010100(bin) = 13908(dec),45/53,53,1,5,1
00011001101101(bin) = 1645(dec),1/10,10,1,11,4
10001100110101(bin) = 9013(dec),11/20,20,11,5,16
11011001101111(bin) = 13935(dec),17/20,20,11,5,4
10110011001101(bin) = 11469(dec),7/10,10,1,11,734
00011001111000(bin) = 1656(dec),5/49,49,5,1,1
11011001101000(bin) = 13928(dec),17/20,20,11,5,26
10011001100010(bin) = 9826(dec),3/5,5,1,5,3
10100110011111(bin) = 10655(dec),13/20,20,11,5,3
00100110010110(bin) = 2454(dec),3/20,20,11,5,5
11011001100100(bin) = 13924(dec),17/20,20,11,5,19
10011001011111(bin) = 9823(dec),3/5,5,1,5,2
10011001011011(bin) = 9819(dec),3/5,5,1,5,1
11100110010110(bin) = 14742(dec),9/10,10,1,11,10
01001101100100(bin) = 4964(dec),10/33,33,5,1,1
00110011001101(bin) = 3277(dec),1/5,5,1,5,729
11011001101110(bin) = 13934(dec),17/20,20,11,5,1
10011010010111(bin) = 9879(dec),32/53,53,1,5,1
01100110111000(bin) = 6584(dec),2/5,5,1,5,1
11011000101100(bin) = 13868(dec),11/13,13,1,5,1
10100110011110(bin) = 10654(dec),13/20,20,11,5,6
01100110011010(bin) = 6554(dec),2/5,5,1,5,469
01100110001110(bin) = 6542(dec),2/5,5,1,5,1
11100110011100(bin) = 14748(dec),9/10,10,1,11,15
11100110100001(bin) = 14753(dec),9/10,10,1,11,2
00110011001111(bin) = 3279(dec),1/5,5,1,5,3
00100110011000(bin) = 2456(dec),3/20,20,11,5,31
01100110001100(bin) = 6540(dec),2/5,5,1,5,1
01110011001001(bin) = 7369(dec),9/20,20,11,5,1
00100110011011(bin) = 2459(dec),3/20,20,11,5,38
01011010111011(bin) = 5819(dec),11/31,31,1,11,1
01100110100100(bin) = 6564(dec),2/5,5,1,5,2
00011001110101(bin) = 1653(dec),1/10,10,1,11,1
11001100101011(bin) = 13099(dec),4/5,5,1,5,1
11110011001100(bin) = 15564(dec),19/20,20,11,5,52
10100110100010(bin) = 10658(dec),13/20,20,11,5,4
11011001011110(bin) = 13918(dec),45/53,53,1,5,1
00011001100110(bin) = 1638(dec),1/10,10,1,11,449
01011001100101(bin) = 5733(dec),7/20,20,11,5,36
11110011001001(bin) = 15561(dec),19/20,20,11,5,2
10011001110000(bin) = 9840(dec),3/5,5,1,5,1
10011001000110(bin) = 9798(dec),31/52,52,1,5,1
01011001101001(bin) = 5737(dec),7/20,20,11,5,6
11000000000000(bin) = 12288(dec),3/4,4,1,5,868
10110011010010(bin) = 11474(dec),7/10,10,1,11,1
10100110011000(bin) = 10648(dec),13/20,20,11,5,34
01011001110000(bin) = 5744(dec),7/20,20,11,5,1
00100110011010(bin) = 2458(dec),3/20,20,11,5,470
10011001100000(bin) = 9824(dec),3/5,5,1,5,4
01011001100100(bin) = 5732(dec),7/20,20,11,5,11
10001100110010(bin) = 9010(dec),11/20,20,11,5,18
01100110010111(bin) = 6551(dec),2/5,5,1,5,10
00011001010000(bin) = 1616(dec),5/51,51,1,11,1
10011001101010(bin) = 9834(dec),3/5,5,1,5,7
01001100110000(bin) = 4912(dec),3/10,10,1,11,3
11001100110011(bin) = 13107(dec),4/5,5,1,5,755
11001100110111(bin) = 13111(dec),4/5,5,1,5,2
11100110011010(bin) = 14746(dec),9/10,10,1,11,428
10110011001110(bin) = 11470(dec),7/10,10,1,11,16
10100110011011(bin) = 10651(dec),13/20,20,11,5,39
00001100111100(bin) = 828(dec),1/20,20,11,5,1
11100110110111(bin) = 14775(dec),46/51,51,1,11,1
00011001100101(bin) = 1637(dec),1/10,10,1,11,31
01110011010010(bin) = 7378(dec),9/20,20,11,5,1
00001100010101(bin) = 789(dec),1/21,21,11,5,1
10100110011100(bin) = 10652(dec),13/20,20,11,5,14
10011001101000(bin) = 9832(dec),3/5,5,1,5,29
11100101110110(bin) = 14710(dec),44/49,49,5,1,1
10001100110110(bin) = 9014(dec),11/20,20,11,5,6
00001100110100(bin) = 820(dec),1/20,20,11,5,40
11011001011000(bin) = 13912(dec),45/53,53,1,5,1
01100110010101(bin) = 6549(dec),2/5,5,1,5,5
01100110011100(bin) = 6556(dec),2/5,5,1,5,6
01011001101010(bin) = 5738(dec),7/20,20,11,5,7
11011001100101(bin) = 13925(dec),17/20,20,11,5,39
00011001100011(bin) = 1635(dec),1/10,10,1,11,7
01100110010110(bin) = 6550(dec),2/5,5,1,5,4
10110010110110(bin) = 11446(dec),37/53,53,1,5,1
01100101011000(bin) = 6488(dec),19/48,48,5,1,1
10100110011101(bin) = 10653(dec),13/20,20,11,5,9
00100110101010(bin) = 2474(dec),8/53,53,1,5,1
11100110011111(bin) = 14751(dec),9/10,10,1,11,2
10100110000111(bin) = 10631(dec),24/37,37,1,5,1
01011111111101(bin) = 6141(dec),3/8,8,5,1,1
01100110011000(bin) = 6552(dec),2/5,5,1,5,33
01001100111100(bin) = 4924(dec),3/10,10,1,11,1
11110011010001(bin) = 15569(dec),19/20,20,11,5,3
11100110100000(bin) = 14752(dec),9/10,10,1,11,3
11110011001110(bin) = 15566(dec),19/20,20,11,5,24
00110011000001(bin) = 3265(dec),1/5,5,1,5,1
10110010111001(bin) = 11449(dec),37/53,53,1,5,1
10011001100101(bin) = 9829(dec),3/5,5,1,5,41
00011001100001(bin) = 1633(dec),1/10,10,1,11,2
11110011001101(bin) = 15565(dec),19/20,20,11,5,732
11110011010010(bin) = 15570(dec),19/20,20,11,5,2
00110011001100(bin) = 3276(dec),1/5,5,1,5,43
10100111001011(bin) = 10699(dec),32/49,49,5,1,1
00011001011101(bin) = 1629(dec),1/10,10,1,11,3
01110011001110(bin) = 7374(dec),9/20,20,11,5,26
00001100110010(bin) = 818(dec),1/20,20,11,5,13
01011001100110(bin) = 5734(dec),7/20,20,11,5,494
10011001101011(bin) = 9835(dec),3/5,5,1,5,3
01100110010010(bin) = 6546(dec),2/5,5,1,5,1
01110011000101(bin) = 7365(dec),9/20,20,11,5,3
00001100110110(bin) = 822(dec),1/20,20,11,5,8
00100110100100(bin) = 2468(dec),8/53,53,1,5,1
10011001011101(bin) = 9821(dec),3/5,5,1,5,1
11100110011000(bin) = 14744(dec),9/10,10,1,11,43
10011001101001(bin) = 9833(dec),3/5,5,1,5,8
01100110011001(bin) = 6553(dec),2/5,5,1,5,202
11001100110101(bin) = 13109(dec),4/5,5,1,5,7
11011001100001(bin) = 13921(dec),17/20,20,11,5,4
00100110010010(bin) = 2450(dec),3/20,20,11,5,1
10100110011010(bin) = 10650(dec),13/20,20,11,5,480
11001100101101(bin) = 13101(dec),4/5,5,1,5,2
00100110011001(bin) = 2457(dec),3/20,20,11,5,221
00011001100111(bin) = 1639(dec),1/10,10,1,11,227
10110011001010(bin) = 11466(dec),7/10,10,1,11,4
01001100110110(bin) = 4918(dec),3/10,10,1,11,2
01001100110100(bin) = 4916(dec),3/10,10,1,11,42
00011001111010(bin) = 1658(dec),5/49,49,5,1,1
10011001111000(bin) = 9848(dec),3/5,5,1,5,1
11110011001010(bin) = 15562(dec),19/20,20,11,5,4
10001101000101(bin) = 9029(dec),27/49,49,5,1,1
11100110011001(bin) = 14745(dec),9/10,10,1,11,199
00011001100100(bin) = 1636(dec),1/10,10,1,11,15
01011001111011(bin) = 5755(dec),13/37,37,1,5,1
10011001100100(bin) = 9828(dec),3/5,5,1,5,19
00110011000111(bin) = 3271(dec),1/5,5,1,5,2
11011001101010(bin) = 13930(dec),17/20,20,11,5,6
00011001011100(bin) = 1628(dec),1/10,10,1,11,1
01011001100010(bin) = 5730(dec),7/20,20,11,5,2
11110011010000(bin) = 15568(dec),19/20,20,11,5,3
01110011001101(bin) = 7373(dec),9/20,20,11,5,678
10110011010000(bin) = 11472(dec),7/10,10,1,11,3
10011001100111(bin) = 9831(dec),3/5,5,1,5,207
10100110000011(bin) = 10627(dec),24/37,37,1,5,1
00011001101000(bin) = 1640(dec),1/10,10,1,11,27
01100110110011(bin) = 6579(dec),2/5,5,1,5,2
01001100110011(bin) = 4915(dec),3/10,10,1,11,713
10110011010101(bin) = 11477(dec),7/10,10,1,11,1
10001100101111(bin) = 9007(dec),11/20,20,11,5,2
11100110010111(bin) = 14743(dec),9/10,10,1,11,9
10011001100110(bin) = 9830(dec),3/5,5,1,5,477
01100110100001(bin) = 6561(dec),2/5,5,1,5,4
00110011001110(bin) = 3278(dec),1/5,5,1,5,20
01011001100111(bin) = 5735(dec),7/20,20,11,5,207
01100110101110(bin) = 6574(dec),2/5,5,1,5,1
00001100110011(bin) = 819(dec),1/20,20,11,5,721
11100110010001(bin) = 14737(dec),9/10,10,1,11,1
10110011001100(bin) = 11468(dec),7/10,10,1,11,49
10001100110011(bin) = 9011(dec),11/20,20,11,5,684
00100110011110(bin) = 2462(dec),3/20,20,11,5,5
11001100101110(bin) = 13102(dec),4/5,5,1,5,2
11011001100110(bin) = 13926(dec),17/20,20,11,5,465
11110011010110(bin) = 15574(dec),19/20,20,11,5,1
10100111001010(bin) = 10698(dec),32/49,49,5,1,1
00000100110011(bin) = 307(dec),1/53,53,1,5,0
00000100110100(bin) = 308(dec),1/53,53,1,5,0
00000100110101(bin) = 309(dec),1/53,53,1,5,0
00000100110110(bin) = 310(dec),1/53,53,1,5,0
00000100110111(bin) = 311(dec),1/53,53,1,5,0
00000100111000(bin) = 312(dec),1/53,53,1,5,0
00000100111001(bin) = 313(dec),1/52,52,1,5,0
00000100111010(bin) = 314(dec),1/52,52,1,5,0
00000100111011(bin) = 315(dec),1/52,52,1,5,0
00000100111100(bin) = 316(dec),1/52,52,1,5,0
00000100111101(bin) = 317(dec),1/52,52,1,5,0
00000100111110(bin) = 318(dec),1/52,52,1,5,0
00000100111111(bin) = 319(dec),1/51,51,1,11,0
00000101000000(bin) = 320(dec),1/51,51,1,11,0
00000101000001(bin) = 321(dec),1/51,51,1,11,0
00000101000010(bin) = 322(dec),1/51,51,1,11,0
00000101000011(bin) = 323(dec),1/51,51,1,11,0
00000101000100(bin) = 324(dec),1/51,51,1,11,0
00000101000101(bin) = 325(dec),1/50,50,1,11,0
00000101000110(bin) = 326(dec),1/50,50,1,11,0
00000101000111(bin) = 327(dec),1/50,50,1,11,0
00000101001000(bin) = 328(dec),1/50,50,1,11,0
00000101001001(bin) = 329(dec),1/50,50,1,11,0
00000101001010(bin) = 330(dec),1/50,50,1,11,0
00000101001011(bin) = 331(dec),1/50,50,1,11,0
00000101001100(bin) = 332(dec),1/49,49,5,1,0
00000101001101(bin) = 333(dec),1/49,49,5,1,0
00000101001110(bin) = 334(dec),1/49,49,5,1,0
00000101001111(bin) = 335(dec),1/49,49,5,1,0
00000101010000(bin) = 336(dec),1/49,49,5,1,0
00000101010001(bin) = 337(dec),1/49,49,5,1,0
00000101010010(bin) = 338(dec),1/48,48,5,1,0
00000101010011(bin) = 339(dec),1/48,48,5,1,0
00000101010100(bin) = 340(dec),1/48,48,5,1,0
00000101010101(bin) = 341(dec),1/48,48,5,1,0
00000101010110(bin) = 342(dec),1/48,48,5,1,0
00000101010111(bin) = 343(dec),1/48,48,5,1,0
00000101011000(bin) = 344(dec),1/48,48,5,1,0
00000101101001(bin) = 361(dec),1/45,45,1,5,0
00000101101010(bin) = 362(dec),1/45,45,1,5,0
00000101101011(bin) = 363(dec),1/45,45,1,5,0
00000101101100(bin) = 364(dec),1/45,45,1,5,0
00000101101101(bin) = 365(dec),1/45,45,1,5,0
00000101101110(bin) = 366(dec),1/45,45,1,5,0
00000101101111(bin) = 367(dec),1/45,45,1,5,0
00000101110000(bin) = 368(dec),1/45,45,1,5,0
00000101110001(bin) = 369(dec),1/44,44,1,5,0
00000101110010(bin) = 370(dec),1/44,44,1,5,0
00000101110011(bin) = 371(dec),1/44,44,1,5,0
00000101110100(bin) = 372(dec),1/44,44,1,5,0
00000101110101(bin) = 373(dec),1/44,44,1,5,0
00000101110110(bin) = 374(dec),1/44,44,1,5,0
00000101110111(bin) = 375(dec),1/44,44,1,5,0
00000101111000(bin) = 376(dec),1/44,44,1,5,0
00000110110101(bin) = 437(dec),1/37,37,1,5,0
00000110110110(bin) = 438(dec),1/37,37,1,5,0
00000110110111(bin) = 439(dec),1/37,37,1,5,0
00000110111000(bin) = 440(dec),1/37,37,1,5,0
00000110111001(bin) = 441(dec),1/37,37,1,5,0
00000110111010(bin) = 442(dec),1/37,37,1,5,0
00000110111011(bin) = 443(dec),1/37,37,1,5,0
00000110111100(bin) = 444(dec),1/37,37,1,5,0
00000110111101(bin) = 445(dec),1/37,37,1,5,0
00000110111110(bin) = 446(dec),1/37,37,1,5,0
00000110111111(bin) = 447(dec),1/37,37,1,5,0
00000111000000(bin) = 448(dec),1/37,37,1,5,0
00000111000001(bin) = 449(dec),1/36,36,1,5,0
00000111000010(bin) = 450(dec),1/36,36,1,5,0
00000111000011(bin) = 451(dec),1/36,36,1,5,0
00000111000100(bin) = 452(dec),1/36,36,1,5,0
00000111000101(bin) = 453(dec),1/36,36,1,5,0
00000111000110(bin) = 454(dec),1/36,36,1,5,0
00000111000111(bin) = 455(dec),1/36,36,1,5,0
00000111001000(bin) = 456(dec),1/36,36,1,5,0
00000111001001(bin) = 457(dec),1/36,36,1,5,0
00000111001010(bin) = 458(dec),1/36,36,1,5,0
00000111001011(bin) = 459(dec),1/36,36,1,5,0
00000111001100(bin) = 460(dec),1/36,36,1,5,0
00000111001101(bin) = 461(dec),1/36,36,1,5,0
00000111101010(bin) = 490(dec),1/33,33,5,1,0
00000111101011(bin) = 491(dec),1/33,33,5,1,0
00000111101100(bin) = 492(dec),1/33,33,5,1,0
00000111101101(bin) = 493(dec),1/33,33,5,1,0
00000111101110(bin) = 494(dec),1/33,33,5,1,0
00000111101111(bin) = 495(dec),1/33,33,5,1,0
00000111110000(bin) = 496(dec),1/33,33,5,1,0
00000111110001(bin) = 497(dec),1/33,33,5,1,0
00000111110010(bin) = 498(dec),1/33,33,5,1,0
00000111110011(bin) = 499(dec),1/33,33,5,1,0
00000111110100(bin) = 500(dec),1/33,33,5,1,0
00000111110101(bin) = 501(dec),1/33,33,5,1,0
00000111110110(bin) = 502(dec),1/33,33,5,1,0
00000111110111(bin) = 503(dec),1/33,33,5,1,0
00000111111000(bin) = 504(dec),1/33,33,5,1,0
00000111111001(bin) = 505(dec),1/32,32,5,1,0
00000111111010(bin) = 506(dec),1/32,32,5,1,0
00000111111011(bin) = 507(dec),1/32,32,5,1,0
00000111111100(bin) = 508(dec),1/32,32,5,1,0
00000111111101(bin) = 509(dec),1/32,32,5,1,0
00000111111110(bin) = 510(dec),1/32,32,5,1,0
00000111111111(bin) = 511(dec),1/32,32,5,1,0
00001000000000(bin) = 512(dec),1/32,32,5,1,0
00001000000001(bin) = 513(dec),1/32,32,5,1,0
00001000000010(bin) = 514(dec),1/32,32,5,1,0
00001000000011(bin) = 515(dec),1/32,32,5,1,0
00001000000100(bin) = 516(dec),1/32,32,5,1,0
00001000000101(bin) = 517(dec),1/32,32,5,1,0
00001000000110(bin) = 518(dec),1/32,32,5,1,0
00001000000111(bin) = 519(dec),1/32,32,5,1,0
00001000001000(bin) = 520(dec),1/32,32,5,1,0
00001000001001(bin) = 521(dec),1/31,31,1,11,0
00001000001010(bin) = 522(dec),1/31,31,1,11,0
00001000001011(bin) = 523(dec),1/31,31,1,11,0
00001000001100(bin) = 524(dec),1/31,31,1,11,0
00001000001101(bin) = 525(dec),1/31,31,1,11,0
00001000001110(bin) = 526(dec),1/31,31,1,11,0
00001000001111(bin) = 527(dec),1/31,31,1,11,0
00001000010000(bin) = 528(dec),1/31,31,1,11,0
00001000010001(bin) = 529(dec),1/31,31,1,11,0
00001000010010(bin) = 530(dec),1/31,31,1,11,0
00001000010011(bin) = 531(dec),1/31,31,1,11,0
00001000010100(bin) = 532(dec),1/31,31,1,11,0
00001000010101(bin) = 533(dec),1/31,31,1,11,0
00001000010110(bin) = 534(dec),1/31,31,1,11,0
00001000010111(bin) = 535(dec),1/31,31,1,11,0
00001000011000(bin) = 536(dec),1/31,31,1,11,0
00001000011001(bin) = 537(dec),1/31,31,1,11,0
00001000011010(bin) = 538(dec),1/30,30,1,11,0
00001000011011(bin) = 539(dec),1/30,30,1,11,0
00001000011100(bin) = 540(dec),1/30,30,1,11,0
00001000011101(bin) = 541(dec),1/30,30,1,11,0
00001000011110(bin) = 542(dec),1/30,30,1,11,0
